POS,PLAYER,Against,Venue,Match Date,BF,6s,4s,Runs,Season
35,Rohit Sharma,KXIP,HPCA Stadium,2010-04-16,31,3,6,68,2010
36,Saurabh Tiwary,DC,Feroz Shah Kotla Ground,2010-03-17,31,3,4,61,2010
37,Virat Kohli,DEC,M. Chinnaswamy Stadium,2010-04-08,31,4,4,58,2010
38,Shikhar Dhawan,CSK,Brabourne Stadium,2010-03-25,31,3,5,56,2010
39,Saurabh Tiwary,RCB,DY Patil Stadium,2010-04-21,31,4,3,52,2010
40,Suresh Raina,MI,Brabourne Stadium,2010-03-25,32,3,7,83,2010
41,Naman Ojha,CSK,Sardar Patel Stadium,2010-03-28,32,5,6,80,2010
42,Rohit Sharma,RR,Vidarbha Cricket Association Stadium,2010-04-05,33,2,8,73,2010
43,Robin Uthappa,CSK,M. Chinnaswamy Stadium,2010-03-23,33,6,3,68,2010
44,Rahul Dravid,KKR,M. Chinnaswamy Stadium,2010-04-10,33,2,5,52,2010
45,Virender Sehwag,KKR,Eden Gardens,2010-04-07,34,3,6,64,2010
46,Andrew Symonds,KXIP,Barabati Stadium,2010-03-19,34,3,3,53,2010
47,Sachin Tendulkar,KKR,Brabourne Stadium,2010-03-22,35,0,10,71,2010
48,Jacques Kallis,DEC,M. Chinnaswamy Stadium,2010-04-08,35,1,9,68,2010
49,Subramaniam Badrinath,KXIP,HPCA Stadium,2010-04-18,35,2,7,53,2010
50,Manvinder Bisla,RCB,M. Chinnaswamy Stadium,2010-03-16,36,4,7,75,2010
51,Kumar Sangakkara,DEC,HPCA Stadium,2010-04-16,36,1,9,52,2010
52,Manoj Tiwary,KXIP,IS Bindra Stadium,2010-03-27,37,2,8,75,2010
53,Paul Collingwood,RCB,Feroz Shah Kotla Ground,2010-04-04,37,7,3,75,2010
54,Kevin Pietersen,KXIP,IS Bindra Stadium,2010-04-02,37,1,7,66,2010
55,Tirumalasetti Suman,CSK,Vidarbha Cricket Association Stadium,2010-04-10,37,2,4,55,2010
56,Shikhar Dhawan,KXIP,Brabourne Stadium,2010-03-30,37,0,6,50,2010
57,Sourav Ganguly,KXIP,IS Bindra Stadium,2010-03-27,37,1,6,50,2010
58,Angelo Mathews,DEC,DY Patil Stadium,2010-03-12,38,4,5,65,2010
59,Jacques Kallis,DC,Feroz Shah Kotla Ground,2010-04-04,38,1,5,54,2010
60,Suresh Raina,DEC,Vidarbha Cricket Association Stadium,2010-04-10,38,2,4,52,2010
61,Paul Collingwood,DEC,Feroz Shah Kotla Ground,2010-04-18,38,3,1,51,2010
62,Sourav Ganguly,DEC,Eden Gardens,2010-04-01,39,5,9,88,2010
63,Sourav Ganguly,RR,Eden Gardens,2010-04-17,39,2,11,75,2010
64,Kumar Sangakkara,MI,IS Bindra Stadium,2010-04-09,39,1,6,56,2010
65,Gautam Gambhir,KXIP,IS Bindra Stadium,2010-03-13,40,1,9,72,2010
66,Sachin Tendulkar,CSK,Brabourne Stadium,2010-03-25,40,1,8,72,2010
67,Murali Vijay,KKR,Chidambaram,2010-04-13,40,2,4,50,2010
68,Shaun Marsh,CSK,HPCA Stadium,2010-04-18,41,5,8,88,2010
69,Ravi Bopara,DC,IS Bindra Stadium,2010-03-13,41,1,7,56,2010
70,Sachin Tendulkar,DEC,DY Patil Stadium,2010-03-28,41,0,9,55,2010
