POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,Nationality,Player Link,Team,Dots,Maid,Season
78,Yusuf Pathan,15,1,2.0,14,1,0,14.0,7.0,12.0,0,0,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/96/yusuf-pathan,Sunrisers Hyderabad,2.0,0.0,2018
79,Mohammad Nabi,2,2,5.0,47,1,0,47.0,9.4,30.0,0,0,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/618/mohammad-nabi,Sunrisers Hyderabad,12.0,0.0,2018
80,Anureet Singh,3,3,4.0,42,1,0,42.0,10.5,24.0,0,0,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/412/anureet-singh,Rajasthan Royals,4.0,0.0,2018
81,Vijay Shankar,13,4,5.0,58,1,0,58.0,11.6,30.0,0,0,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/1083/vijay-shankar,Delhi Capitals,8.0,0.0,2018
82,Pawan Negi,2,2,4.0,49,1,0,49.0,12.25,24.0,0,0,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/53/pawan-negi,Royal Challengers Bangalore,9.0,0.0,2018
83,Chris Jordan,1,1,4.0,31,0,0,0.0,7.75,0.0,0,0,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/1299/chris-jordan,Sunrisers Hyderabad,11.0,0.0,2018
84,Deepak Hooda,9,2,3.0,24,0,0,0.0,8.0,0.0,0,0,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/1556/deepak-hooda,Sunrisers Hyderabad,6.0,0.0,2018
85,Mahipal Lomror,2,2,3.0,27,0,0,0.0,9.0,0.0,0,0,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/2970/mahipal-lomror,Rajasthan Royals,2.0,0.0,2018
86,Pradeep Sangwan,1,1,2.0,19,0,0,0.0,9.5,0.0,0,0,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/91/pradeep-sangwan,Mumbai Indians,5.0,0.0,2018
87,Manoj Tiwary,5,1,1.0,10,0,0,0.0,10.0,0.0,0,0,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/89/manoj-tiwary,Kings Xi Punjab,0.0,0.0,2018
88,Ankit Sharma,1,1,1.0,11,0,0,0.0,11.0,0.0,0,0,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/32/ankit-sharma,Rajasthan Royals,1.0,0.0,2018
89,Junior Dala,1,1,3.0,34,0,0,0.0,11.33,0.0,0,0,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/4277/junior-dala,Delhi Capitals,7.0,0.0,2018
90,Yuvraj Singh,8,2,2.0,23,0,0,0.0,11.5,0.0,0,0,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/113/yuvraj-singh,Kings Xi Punjab,0.0,0.0,2018
91,Akila Dananjaya,1,1,4.0,47,0,0,0.0,11.75,0.0,0,0,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/588/akila-dananjaya,Mumbai Indians,6.0,0.0,2018
92,JP Duminy,6,2,3.0,36,0,0,0.0,12.0,0.0,0,0,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/182/jp-duminy,Mumbai Indians,6.0,0.0,2018
93,Mark Wood,1,1,4.0,49,0,0,0.0,12.25,0.0,0,0,Overseas,https://www.iplt20.com/teams/chennai-super-kings/squad/2749/mark-wood,Chennai Super Kings,6.0,0.0,2018
94,Khaleel Ahmed,1,1,3.0,38,0,0,0.0,12.66,0.0,0,0,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/2964/khaleel-ahmed,Sunrisers Hyderabad,7.0,0.0,2018
95,Stuart Binny,7,1,2.0,33,0,0,0.0,16.5,0.0,0,0,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/148/stuart-binny,Rajasthan Royals,2.0,0.0,2018
1,Bhuvneshwar Kumar,14,14,52.2,369,26,0,14.19,7.05,12.07,0,1,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/116/bhuvneshwar-kumar,Sunrisers Hyderabad,117.0,0.0,2017
2,Jaydev Unadkat,12,12,45.5,322,24,0,13.41,7.02,11.45,0,1,Indian,0,Nan,119.0,3.0,2017
3,Jasprit Bumrah,16,16,59.2,439,20,0,21.95,7.39,17.8,0,0,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/1124/jasprit-bumrah,Mumbai Indians,122.0,2.0,2017
4,Mitchell McClenaghan,14,14,54.0,507,19,0,26.68,9.38,17.05,0,0,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/730/mitchell-mcclenaghan,Mumbai Indians,119.0,0.0,2017
